Array IDs,Population,Relationship,Chunk Range
1 – 20,AfAm,parent_child,1 – 20
21 – 40,AfAm,full_siblings,1 – 20
41 – 60,AfAm,half_siblings,1 – 20
61 – 80,AfAm,cousins,1 – 20
81 – 100,AfAm,second_cousins,1 – 20
101 – 120,AfAm,unrelated,1 – 20
121 – 140,Cauc,parent_child,1 – 20
141 – 160,Cauc,full_siblings,1 – 20
161 – 180,Cauc,half_siblings,1 – 20
181 – 200,Cauc,cousins,1 – 20
201 – 220,Cauc,second_cousins,1 – 20
221 – 240,Cauc,unrelated,1 – 20
241 – 260,Hispanic,parent_child,1 – 20
261 – 280,Hispanic,full_siblings,1 – 20
281 – 300,Hispanic,half_siblings,1 – 20
301 – 320,Hispanic,cousins,1 – 20
321 – 340,Hispanic,second_cousins,1 – 20
341 – 360,Hispanic,unrelated,1 – 20
361 – 380,Asian,parent_child,1 – 20
381 – 400,Asian,full_siblings,1 – 20
401 – 420,Asian,half_siblings,1 – 20
421 – 440,Asian,cousins,1 – 20
441 – 460,Asian,second_cousins,1 – 20
461 – 480,Asian,unrelated,1 – 20
481 – 500,all,parent_child,1 – 20
501 – 520,all,full_siblings,1 – 20
521 – 540,all,half_siblings,1 – 20
541 – 560,all,cousins,1 – 20
561 – 580,all,second_cousins,1 – 20
581 – 600,all,unrelated,1 – 20